name: hybrid_-50_45_-4_35_15_140_60_420---gt: [ True, 49, 142, 61]---predictions: [0.87, 32, 103, 61]
name: hybrid_-50_45_-36_10_15_80_30_420---gt: [ True, 49, 149, 89]---predictions: [0.76, 23, 114, 90]
name: sedan4door_-30_45_-22_35_15_140_30_420---gt: [ False, 30, 136, 65]---predictions: [0.60, 28, 90, 66]
name: hatchback_-50_45_-4_10_20_230_60_420---gt: [ True, 49, 93, 61]---predictions: [0.72, 20, 74, 61]
name: suv_-30_15_-4_35_20_230_60_420---gt: [ True, 30, 89, 56]---predictions: [0.70, 15, 72, 56]
name: hatchback_-17_45_-4_35_20_20_60_420---gt: [ True, 16, 112, 126]---predictions: [0.89, 27, 112, 126]
name: hybrid_-50_15_-36_10_15_80_60_420---gt: [ True, 49, 152, 108]---predictions: [0.90, 18, 122, 108]
name: hatchback_-50_45_-4_35_20_230_30_420---gt: [ False, 49, 96, 70]---predictions: [0.40, 13, 68, 70]
name: hatchback_-17_45_-22_35_20_80_60_420---gt: [ True, 16, 140, 105]---predictions: [0.82, 23, 120, 105]
name: sedan2door_-50_45_-4_35_20_140_60_420---gt: [ True, 49, 146, 63]---predictions: [0.82, 22, 132, 64]
name: hybrid_-50_45_-36_10_20_80_30_420---gt: [ True, 49, 149, 89]---predictions: [0.76, 23, 116, 90]
name: hybrid_-17_15_-4_35_15_80_30_420---gt: [ True, 16, 138, 86]---predictions: [0.66, 21, 92, 86]
name: sedan2door_-30_45_-36_35_20_20_30_420---gt: [ True, 30, 121, 106]---predictions: [0.88, 18, 115, 106]
name: hatchback_-17_45_-4_35_20_230_60_420---gt: [ True, 16, 96, 63]---predictions: [0.59, 14, 74, 63]
name: hybrid_-17_15_-36_35_20_80_30_420---gt: [ True, 16, 138, 86]---predictions: [0.66, 22, 93, 86]
name: sedan2door_-50_15_-36_35_15_140_60_420---gt: [ True, 49, 146, 63]---predictions: [0.81, 22, 124, 64]
name: sedan2door_-30_45_-22_35_20_230_60_420---gt: [ True, 30, 88, 67]---predictions: [0.90, 12, 89, 67]
name: hybrid_-50_45_-4_35_20_230_30_420---gt: [ False, 49, 88, 69]---predictions: [0.35, 10, 63, 69]
name: sedan2door_-30_15_-36_10_20_20_30_420---gt: [ True, 30, 121, 106]---predictions: [0.86, 14, 127, 106]
